"augment","median_before","iqr_before","median_after","iqr_after","median_diff"
"none",0.909666474134612,0.0763090106282034,0.909666474134612,0.0763090106282034,0
"awareness",0.909666474134612,0.0763090106282034,0.936690332906275,0.066898696412425,0.0207872377547436
"jitter",0.909666474134612,0.0763090106282034,0.889004781650321,0.0797156811249551,-0.0211110803993555
"flip",0.909666474134612,0.0763090106282034,0.894374951468932,0.0893938625508246,-0.0162144501272948
"shrink",0.909666474134612,0.0763090106282034,0.889004781650321,0.0797156811249551,-0.0211110803993555
"stretch",0.909666474134612,0.0763090106282034,0.889004781650321,0.0797156811249551,-0.0211110803993555
